,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:10:07,293,4.883333333,0.63,0.93,1.06
55:10:08,294,4.9,0.64,0.93,1.12
55:10:09,295,4.916666667,0.64,0.93,1.09
55:10:10,296,4.933333333,0.64,0.93,1.08
55:10:11,297,4.95,0.64,0.93,1.13
55:10:12,298,4.966666667,0.64,0.93,1.06
55:10:13,299,4.983333333,0.64,0.93,1.13
55:10:14,300,5,0.64,0.93,1.1
55:10:15,301,5.016666667,0.64,0.93,1.09
55:10:16,302,5.033333333,0.64,0.93,1.13
55:10:17,303,5.05,0.64,0.93,1.06
55:10:18,304,5.066666667,0.64,0.93,1.13
55:10:19,305,5.083333333,0.64,0.93,1.08
55:10:20,306,5.1,0.64,0.93,1.08
55:10:21,307,5.116666667,0.64,0.93,1.12
55:10:22,308,5.133333333,0.63,0.93,1.06
55:10:23,309,5.15,0.64,0.93,1.13
55:10:24,310,5.166666667,0.63,0.93,1.07
55:10:25,311,5.183333333,0.63,0.93,1.09
55:10:26,312,5.2,0.63,0.93,1.11
55:10:27,313,5.216666667,0.63,0.93,1.06
55:10:28,314,5.233333333,0.63,0.93,1.13
55:10:29,315,5.25,0.63,0.92,1.08
55:10:30,316,5.266666667,0.63,0.92,1.1
55:10:31,317,5.283333333,0.63,0.92,1.12
55:10:32,318,5.3,0.62,0.92,1.06
55:10:33,319,5.316666667,0.63,0.92,1.13
55:10:34,320,5.333333333,0.62,0.92,1.07
55:10:35,321,5.35,0.62,0.92,1.09
55:10:36,322,5.366666667,0.62,0.92,1.12
55:10:37,323,5.383333333,0.62,0.92,1.06
55:10:38,324,5.4,0.62,0.92,1.13
55:10:39,325,5.416666667,0.62,0.92,1.07
55:10:40,326,5.433333333,0.62,0.92,1.1
55:10:41,327,5.45,0.62,0.92,1.11
55:10:42,328,5.466666667,0.62,0.92,1.06
55:10:43,329,5.483333333,0.62,0.92,1.13
55:10:44,330,5.5,0.62,0.92,1.06
55:10:45,331,5.516666667,0.62,0.92,1.1
55:10:46,332,5.533333333,0.62,0.92,1.11
55:10:47,333,5.55,0.61,0.92,1.06
55:10:48,334,5.566666667,0.61,0.92,1.12
55:10:49,335,5.583333333,0.61,0.92,1.06
55:10:50,336,5.6,0.61,0.92,1.09
55:10:51,337,5.616666667,0.61,0.92,1.11
55:10:52,338,5.633333333,0.61,0.92,1.05
55:10:53,339,5.65,0.61,0.92,1.13
55:10:54,340,5.666666667,0.61,0.92,1.07
55:10:55,341,5.683333333,0.61,0.92,1.1
55:10:56,342,5.7,0.61,0.92,1.11
55:10:57,343,5.716666667,0.61,0.92,1.06
55:10:58,344,5.733333333,0.61,0.92,1.13
55:10:59,345,5.75,0.6,0.92,1.06
55:11:00,346,5.766666667,0.6,0.92,1.1
55:11:01,347,5.783333333,0.6,0.92,1.09
55:11:02,348,5.8,0.6,0.92,1.07
55:11:03,349,5.816666667,0.6,0.92,1.12
55:11:04,350,5.833333333,0.6,0.91,1.05
55:11:05,351,5.85,0.6,0.92,1.12
55:11:06,352,5.866666667,0.6,0.91,1.07
55:11:07,353,5.883333333,0.6,0.92,1.08
55:11:08,354,5.9,0.61,0.92,1.11
55:11:09,355,5.916666667,0.61,0.92,1.05
55:11:10,356,5.933333333,0.62,0.92,1.13
55:11:11,357,5.95,0.62,0.92,1.07
55:11:12,358,5.966666667,0.65,0.92,1.09
55:11:13,359,5.983333333,0.71,0.92,1.12
55:11:14,360,6,0.77,0.92,1.06
55:11:15,361,6.016666667,0.8,0.93,1.13
55:11:16,362,6.033333333,0.83,0.93,1.07
